Song,Album,Summary,,Happiness/Sadness,,,,In/Out of a Relationship,,,,
,,Happy/Sad,Relationship,Feelings of self,Glass half full,Stages,Tempo,Seriousness,Future prospects,Feelings of male,Togetherness,Embed
Haunted,Speak Now,-3,-10,0,-3,-2,2,-3,-2,-3,-2,https://open.spotify.com/embed/track/4tMzIAFTFdqGBQLdfbPces?utm_source=generator
If This Was a Movie,Speak Now,-4,-6,-2,-2,-2,2,-2,0,-2,-2,https://open.spotify.com/embed/track/0kAZ3H6G9Zac4PMpmobMkj?utm_source=generator
Last Kiss,Speak Now,-2,-4,0,-1,-1,0,-1,-2,0,-1,https://open.spotify.com/embed/track/59KOoHFcw5XfICnO57holu?utm_source=generator
Long Live,Speak Now,5,1,2,2,1,0,0,0,0,1,https://open.spotify.com/embed/track/4hqJ4bSlYJOXb6Z4SRmzxs?utm_source=generator
Mean,Speak Now,6,-7,1,0,2,3,-3,-3,0,-1,https://open.spotify.com/embed/track/30Y4CV7A6YqtQtTTo7Ue4j?utm_source=generator
Mine,Speak Now,6,10,1,2,1,2,3,3,3,1,https://open.spotify.com/embed/track/7G0gBu6nLdhFDPRLc0HdDG?utm_source=generator
Ours,Speak Now,9,6,3,1,3,2,2,2,3,-1,https://open.spotify.com/embed/track/3yNJkriPzWjkkDAWHIAVUq?utm_source=generator
Sparks Fly,Speak Now,8,3,2,2,2,2,1,1,0,1,https://open.spotify.com/embed/track/3MytWN8L7shNYzGl4tAKRp?utm_source=generator
Speak Now,Speak Now,8,4,3,0,3,2,0,2,3,-1,https://open.spotify.com/embed/track/5xXqyjLicvEpch72qEryFT?utm_source=generator
The Story of Us,Speak Now,-3,-6,-1,-2,-2,2,-1,-2,-2,-1,https://open.spotify.com/embed/track/6dTA6y0C2ReQklntzZl8l3?utm_source=generator
Superman,Speak Now,1,-2,-1,-1,1,2,1,0,0,-3,https://open.spotify.com/embed/track/4evLyY5Ue1Wesc61t2KXAU?utm_source=generator
22,Red,2,-1,0,1,1,0,0,0,0,-1,https://open.spotify.com/embed/track/3yII7UwgLF6K5zW3xad3MP?utm_source=generator
All Too Well,Red,-6,-7,-1,-2,-3,0,-2,-2,-2,-1,https://open.spotify.com/embed/track/3nsfB1vus2qaloUdcBZvDu?utm_source=generator
Begin Again,Red,2,7,-1,1,2,0,2,2,2,1,https://open.spotify.com/embed/track/05GsNucq8Bngd9fnd4fRa0?utm_source=generator
Come Back... Be Here,Red,-6,-2,-3,-1,-2,0,0,-1,2,-3,https://open.spotify.com/embed/track/4pNApnaUWAL2J4KO2eqokq?utm_source=generator
Everything Has Changed,Red,9,8,3,3,3,0,1,2,3,2,https://open.spotify.com/embed/track/7qEUFOVcxRI19tbT68JcYK?utm_source=generator
Girl at Home,Red,5,-3,2,-2,3,2,0,-3,1,-1,https://open.spotify.com/embed/track/0DMVrlMUn01M0IcpDbwgu7?utm_source=generator
Holy Ground,Red,2,-5,0,0,0,2,-1,-3,0,-1,https://open.spotify.com/embed/track/661CJWXysgwKXI1dreYNBU?utm_source=generator
I Almost Do,Red,-3,-6,-2,-3,0,2,-2,-2,0,-2,https://open.spotify.com/embed/track/2r9CbjYgFhtAmcFv1cSquB?utm_source=generator
I Knew You Were Trouble,Red,-12,-9,-3,-3,-3,-3,-3,-3,0,-3,https://open.spotify.com/embed/track/6AtZLIzUINvExIUy4QhdjP?utm_source=generator
The Last Time,Red,-3,0,0,-1,-2,0,-2,0,3,-1,https://open.spotify.com/embed/track/0y6kdSRCVQhSsHSpWvTUm7?utm_source=generator
The Lucky One,Red,-1,-2,-1,0,0,0,0,-1,0,-1,https://open.spotify.com/embed/track/4e5ayHsOLJNLTGfjau2mEw?utm_source=generator
The Moment I Knew,Red,-7,-5,-1,-3,-3,0,-3,0,0,-2,https://open.spotify.com/embed/track/0NRHj8hDwwmSPaA41o379r?utm_source=generator
Red,Red,-2,-2,-1,0,-1,0,-1,0,0,-1,https://open.spotify.com/embed/track/4OAuvHryIVv4kMDNSLuPt6?utm_source=generator
Sad Beautiful Tragic,Red,-7,-7,-2,-2,-3,0,-1,-3,-2,-1,https://open.spotify.com/embed/track/73qMN9bXy7MSPwwGfH3wQr?utm_source=generator
Starlight,Red,6,9,-1,3,1,3,1,3,3,2,https://open.spotify.com/embed/track/7A2cNLRT0YJc1yjxHlKihs?utm_source=generator
State of Grace,Red,-1,-1,-1,-2,0,2,-1,0,0,0,https://open.spotify.com/embed/track/5lFDIbYMcFHPPgzMcnPqSz?utm_source=generator
Stay Stay Stay,Red,5,8,-1,1,2,3,2,2,2,2,https://open.spotify.com/embed/track/7eQj6r5PIdYKEIZjucBMcq?utm_source=generator
Treacherous,Red,4,1,1,1,2,0,1,0,0,0,https://open.spotify.com/embed/track/3S7HNKPakdwNEBFIVTL6dZ?utm_source=generator
We Are Never Getting Back Together,Red,3,-7,3,-2,2,0,-2,-3,1,-3,https://open.spotify.com/embed/track/5YqltLsjdqFtvqE7Nrysvs?utm_source=generator
All You Had To Do Was Stay,1989,-4,-7,2,-3,-3,0,-3,-3,1,-2,https://open.spotify.com/embed/track/6GXgd1BPD9bUpqw5AntGV5?utm_source=generator
Bad Blood,1989,-1,-11,3,-3,-3,2,-3,-3,-3,-2,https://open.spotify.com/embed/track/64FzgoLZ3oXu2SriZblHic?utm_source=generator
Blank Space,1989,-1,-3,0,-1,0,0,-2,0,0,-1,https://open.spotify.com/embed/track/45wMBGri1PORPjM9PwFfrS?utm_source=generator
Clean,1989,0,-7,0,0,0,0,-3,-3,0,-1,https://open.spotify.com/embed/track/2ByBBvpR9b7IynvRmnG7kG?utm_source=generator
How You Get the Girl,1989,3,2,0,1,0,2,-1,1,3,-1,https://open.spotify.com/embed/track/75W3SngKzTuoQ94uLf3y82?utm_source=generator
I Know Places,1989,5,7,2,-2,3,2,3,2,0,2,https://open.spotify.com/embed/track/2f0GI2ZLUtbGqFx8t2Gk6A?utm_source=generator
I Wish You Would,1989,-2,-5,-2,-3,1,2,-1,0,-2,-2,https://open.spotify.com/embed/track/43y1WpBdnEy5TR9aZoSQL9?utm_source=generator
New Romantics,1989,1,-2,0,-1,1,1,0,0,0,-2,https://open.spotify.com/embed/track/2vPMoMDXxu9uX1igWZmXSG?utm_source=generator
Out of the Woods,1989,-1,-5,0,-2,1,0,-1,-3,0,-1,https://open.spotify.com/embed/track/045ZeOHPIzhxxsm8bq5kyE?utm_source=generator
Shake It Off,1989,9,-2,3,2,2,2,0,0,0,-2,https://open.spotify.com/embed/track/3pv7Q5v2dpdefwdWIvE7yH?utm_source=generator
Style,1989,-4,2,-3,-1,0,0,-1,1,1,1,https://open.spotify.com/embed/track/1hjRhYpWyqDpPahmSlUTlc?utm_source=generator
This Love,1989,-2,-2,-1,-1,0,0,-1,0,0,-1,https://open.spotify.com/embed/track/5QVVjX0ZItqlVpEuVCM9Yg?utm_source=generator
Welcome to New York,1989,4,7,0,2,0,2,1,2,2,2,https://open.spotify.com/embed/track/1hR8BSuEqPCCZfv93zzzz9?utm_source=generator
Wildest Dreams,1989,1,-5,-1,0,0,2,-1,-2,1,-3,https://open.spotify.com/embed/track/1K39ty6o1sHwwlZwO6a7wK?utm_source=generator
Wonderland,1989,-5,0,-2,-2,-1,0,-1,-1,1,1,https://open.spotify.com/embed/track/2ve0kuaWUCt4Zx8x4bf1MR?utm_source=generator
You Are In Love,1989,5,9,2,2,1,0,2,2,3,2,https://open.spotify.com/embed/track/4UwqOWDpdeIDVQDuKT6iza?utm_source=generator
…Ready For It?,Reputation,6,0,3,-1,2,2,1,0,0,-1,https://open.spotify.com/embed/track/2yLa0QULdQr0qAIvVwN6B5?utm_source=generator
Call It What You Want,Reputation,2,7,-2,0,2,2,2,2,3,0,https://open.spotify.com/embed/track/1GwMQaZz6Au3QLDbjbMdme?utm_source=generator
Dancing With Our Hands Tied,Reputation,-5,1,-2,-2,-1,0,2,-1,0,0,https://open.spotify.com/embed/track/7I7JbDv63ZJJsSi24DyJrz?utm_source=generator
Delicate,Reputation,-4,-2,-1,-2,1,-2,0,0,0,-2,https://open.spotify.com/embed/track/6NFyWDv5CjfwuzoCkw47Xf?utm_source=generator
Don't Blame Me,Reputation,-3,2,-3,-2,2,0,1,2,0,-1,https://open.spotify.com/embed/track/1R0a2iXumgCiFb7HEZ7gUE?utm_source=generator
Dress,Reputation,3,4,-1,1,1,2,1,2,0,1,https://open.spotify.com/embed/track/6oVxXO5oQ4pTpO8RSnkzvv?utm_source=generator
End Game,Reputation,3,3,-1,0,2,2,2,0,0,1,https://open.spotify.com/embed/track/2x0WlnmfG39ZuDmstl9xfX?utm_source=generator
Getaway Car,Reputation,-1,-5,-1,-2,0,2,-2,-3,0,0,https://open.spotify.com/embed/track/0VE4kBnHJUgtMf0dy6DRmW?utm_source=generator
Gorgeous,Reputation,1,-4,3,0,-2,0,0,-1,0,-3,https://open.spotify.com/embed/track/1ZY1PqizIl78geGM4xWlEA?utm_source=generator
I Did Something Bad,Reputation,-1,-2,3,-2,0,-2,-1,-2,2,-1,https://open.spotify.com/embed/track/4svZDCRz4cJoneBpjpx8DJ?utm_source=generator
King of My Heart,Reputation,7,5,2,2,1,2,1,2,1,1,https://open.spotify.com/embed/track/7HuBDWi18s4aJM8UFnNheH?utm_source=generator
Look What You Made Me Do,Reputation,1,-11,3,-2,3,-3,-3,-3,-3,-2,https://open.spotify.com/embed/track/1P17dC1amhFzptugyAO7Il?utm_source=generator
New Year's Day,Reputation,2,4,0,-1,3,0,2,1,0,1,https://open.spotify.com/embed/track/7F5oktn5YOsR9eR5YsFtqb?utm_source=generator
So It Goes…,Reputation,-2,3,0,-2,0,0,1,0,1,1,https://open.spotify.com/embed/track/5PxFv9yJEg9dxvbZggykro?utm_source=generator
This Is Why We Can't Have Nice Things,Reputation,-8,-11,0,-2,-3,-3,-3,-3,-3,-2,https://open.spotify.com/embed/track/07NxDD1iKCHbAldceD7QLP?utm_source=generator
Afterglow,Lover,-6,-7,-3,-3,-2,2,-3,0,-2,-2,https://open.spotify.com/embed/track/1SymEzIT3H8UZfibCs3TYi?utm_source=generator
Cornelia Street,Lover,0,6,-1,0,1,0,2,2,3,-1,https://open.spotify.com/embed/track/12M5uqx0ZuwkpLp5rJim1a?utm_source=generator
Cruel Summer,Lover,-3,1,-1,-3,-1,2,2,-1,1,-1,https://open.spotify.com/embed/track/1BxfuPKGuaTgP7aM0Bbdwr?utm_source=generator
Daylight,Lover,0,4,-2,-1,1,2,2,3,0,-1,https://open.spotify.com/embed/track/1fzAuUVbzlhZ1lJAx9PtY6?utm_source=generator
Death By A Thousand Cuts,Lover,-6,-7,0,-3,-3,0,-1,-2,-2,-2,https://open.spotify.com/embed/track/2dgFqt3w9xIQRjhPtwNk3D?utm_source=generator
False God,Lover,-5,1,-2,-2,-1,0,-1,0,0,2,https://open.spotify.com/embed/track/5hQSXkFgbxjZo9uCwd11so?utm_source=generator
I Forgot That You Existed,Lover,2,-8,2,0,0,0,-3,-3,0,-2,https://open.spotify.com/embed/track/43rA71bccXFGD4C8GOpIlN?utm_source=generator
I Think He Knows,Lover,11,8,3,3,3,2,1,2,3,2,https://open.spotify.com/embed/track/2YWtcWi3a83pdEg3Gif4Pd?utm_source=generator
It's Nice To Have A Friend,Lover,5,11,2,2,1,0,3,3,3,2,https://open.spotify.com/embed/track/1SmiQ65iSAbPto6gPFlBYm?utm_source=generator
London Boy,Lover,9,7,3,3,1,2,1,2,2,2,https://open.spotify.com/embed/track/1LLXZFeAHK9R4xUramtUKw?utm_source=generator
Lover,Lover,3,11,1,1,1,0,3,3,3,2,https://open.spotify.com/embed/track/1dGr1c8CrMLDpV6mPbImSI?utm_source=generator
ME!,Lover,7,5,3,2,2,0,1,2,3,-1,https://open.spotify.com/embed/track/2Rk4JlNc2TPmZe2af99d45?utm_source=generator
Miss Americana & The Heartbreak Prince,Lover,-1,1,-1,-1,1,0,2,0,0,-1,https://open.spotify.com/embed/track/214nt20w5wOxJnY462klLw?utm_source=generator
Paper Rings,Lover,11,9,3,3,3,2,2,3,2,2,https://open.spotify.com/embed/track/4y5bvROuBDPr5fuwXbIBZR?utm_source=generator
Soon You'll Get Better,Lover,-3,1,-1,-1,-1,0,2,0,0,-1,https://open.spotify.com/embed/track/4AYtqFyFbX0Xkc2wtcygTr?utm_source=generator
The Archer,Lover,-1,1,-3,-1,1,2,2,0,0,-1,https://open.spotify.com/embed/track/3pHkh7d0lzM2AldUtz2x37?utm_source=generator
The Man,Lover,2,-2,2,1,-3,2,1,-1,0,-2,https://open.spotify.com/embed/track/3RauEVgRgj1IuWdJ9fDs70?utm_source=generator
You Need To Calm Down,Lover,7,-8,3,1,3,0,0,-3,-3,-2,https://open.spotify.com/embed/track/6RRNNciQGZEXnqk8SQ9yv5?utm_source=generator
Only the Young,N/A,3,-7,2,0,3,-2,-2,-3,0,-2,https://open.spotify.com/embed/track/2slqvGLwzZZYsT4K4Y1GBC?utm_source=generator
august,folklore,0,-1,0,-1,1,0,-1,-1,1,0,https://open.spotify.com/embed/track/3hUxzQpSfdDqwM3ZTFQY0K?utm_source=generator
betty,folklore,-1,-6,-2,-2,3,0,-2,0,-1,-3,https://open.spotify.com/embed/track/5kI4eCXXzyuIUXjQra0Cxi?utm_source=generator
cardigan,folklore,-2,-2,-1,-1,0,0,-2,1,0,-1,https://open.spotify.com/embed/track/4R2kfaDFhslZEMJqAFNpdd?utm_source=generator
epiphany,folklore,-5,-6,0,-3,-2,0,0,-3,0,-3,https://open.spotify.com/embed/track/08fa9LFcFBTcilB3iq2e2A?utm_source=generator
exile,folklore,0,-3,1,-3,2,0,-2,-1,3,-3,https://open.spotify.com/embed/track/4pvb0WLRcMtbPGmtejJJ6y?utm_source=generator
hoax,folklore,-7,-7,-1,-3,-3,0,-3,1,-3,-2,https://open.spotify.com/embed/track/6MWoRt97mnSTXZhu3ggi9C?utm_source=generator
illicit affairs,folklore,-3,1,-1,-2,-2,2,1,0,1,-1,https://open.spotify.com/embed/track/2NmsngXHeC1GQ9wWrzhOMf?utm_source=generator
invisible string,folklore,-1,1,1,0,0,-2,2,0,0,-1,https://open.spotify.com/embed/track/6VsvKPJ4xjVNKpI8VVZ3SV?utm_source=generator
mad woman,folklore,0,-9,3,-2,-3,2,-3,0,-3,-3,https://open.spotify.com/embed/track/2QDyYdZyhlP2fp79KZX8Bi?utm_source=generator
mirrorball,folklore,3,-1,-1,0,2,2,0,0,0,-1,https://open.spotify.com/embed/track/0ZNU020wNYvgW84iljPkPP?utm_source=generator
my tears ricochet,folklore,-2,-9,1,-2,-3,2,-2,-2,-3,-2,https://open.spotify.com/embed/track/1MgV7FIyNxIG7WzMRJV5HC?utm_source=generator
peace,folklore,5,4,1,1,1,2,3,0,0,1,https://open.spotify.com/embed/track/7MbT4I8qGntX4fMdqMQgke?utm_source=generator
the 1,folklore,3,-3,1,0,0,2,-1,-1,0,-1,https://open.spotify.com/embed/track/0Jlcvv8IykzHaSmj49uNW8?utm_source=generator
the lakes,folklore,-2,-1,-1,-2,1,0,0,1,0,-2,https://open.spotify.com/embed/track/0UAdDYrkCvVQftaKpL6q5f?utm_source=generator
the last great american dynasty,folklore,8,2,3,1,2,2,3,-3,3,-1,https://open.spotify.com/embed/track/2Eeur20xVqfUoM3Q7EFPFt?utm_source=generator
this is me trying,folklore,-2,-4,-3,-3,2,2,-2,0,0,-2,https://open.spotify.com/embed/track/7kt9e9LFSpN1zQtYEl19o1?utm_source=generator
champagne problems,evermore,-5,-10,-3,-2,0,0,-3,-3,-2,-2,https://open.spotify.com/embed/track/0sY6ZUTh4yoctD8VIXz339?utm_source=generator
closure,evermore,0,-7,2,-1,-3,2,-2,-3,0,-2,https://open.spotify.com/embed/track/6a8aUhYbaQBUI8PcJ5ZmQ6?utm_source=generator
coney island,evermore,-6,-7,-2,-3,-3,2,-2,-1,-2,-2,https://open.spotify.com/embed/track/3k7ne7VmH43ZPWxPdvPUgR?utm_source=generator
cowboy like me,evermore,0,2,-1,-1,0,2,1,0,1,0,https://open.spotify.com/embed/track/1XjHRolIXL2M1EEOUsGGR4?utm_source=generator
dorothea,evermore,8,-3,3,2,1,2,-1,0,0,-2,https://open.spotify.com/embed/track/670fUmXf4KQekzbEgaXyPA?utm_source=generator
evermore,evermore,-5,-4,-2,-2,-3,2,-1,0,-1,-2,https://open.spotify.com/embed/album/6AORtDjduMM3bupSWzbTSG?utm_source=generator
gold rush,evermore,6,-4,2,0,2,2,-1,-2,0,-1,https://open.spotify.com/embed/track/5BK0uqwY9DNfZ630STAEaq?utm_source=generator
happiness,evermore,-1,-3,-2,-2,1,2,-2,1,-1,-1,https://open.spotify.com/embed/track/73YUReisjb3A9ActdLLjJQ?utm_source=generator
it's time to go,evermore,6,-5,2,0,2,2,-2,-3,1,-1,https://open.spotify.com/embed/track/1kdWw77ZpYOkhxeuhzU1j6?utm_source=generator
ivy,evermore,1,-1,1,-1,1,0,1,0,1,-3,https://open.spotify.com/embed/track/19CSr8rwW05VJL2F91KFNK?utm_source=generator
long story short,evermore,7,3,1,1,3,2,2,2,0,-1,https://open.spotify.com/embed/track/2o2sgVJIgFXk8GQjWTgI6U?utm_source=generator
"no body, no crime",evermore,2,-11,3,-1,3,-3,-3,-3,-2,-3,https://open.spotify.com/embed/track/3RaT22zZsxVYxxKR7TAaYF?utm_source=generator
right where you left me,evermore,-3,-7,-1,-3,-1,2,-2,-1,-1,-3,https://open.spotify.com/embed/track/3zwMVvkBe2qIKDObWgXw4N?utm_source=generator
tis the damn season,evermore,-5,-4,-3,-2,-2,2,-2,0,-1,-1,https://open.spotify.com/embed/track/7dW84mWkdWE5a6lFWxJCBG?utm_source=generator
tolerate it,evermore,-3,1,1,-2,-2,0,2,0,0,-1,https://open.spotify.com/embed/track/0PurA4JVJ8YQgSVopY8fn6?utm_source=generator
willow,evermore,4,3,1,1,2,0,1,2,0,0,https://open.spotify.com/embed/track/0lx2cLdOt3piJbcaXIV74f?utm_source=generator
You All Over Me,Fearless (Taylor's Version),-3,-3,-1,-2,0,0,-2,0,0,-1,https://open.spotify.com/embed/track/5pcjystBtalYeqaiXCcgEY?utm_source=generator
Mr. Perfectly Fine,Fearless (Taylor's Version),3,-7,2,0,1,0,-2,-2,0,-3,https://open.spotify.com/embed/track/7l2tmgUhV7Y2aJHjiszifg?utm_source=generator
We Were Happy,Fearless (Taylor's Version),-7,-1,-3,-1,-3,0,-1,0,0,0,https://open.spotify.com/embed/track/34V9RiEPe8MNdU32qJsJa1?utm_source=generator
That's When,Fearless (Taylor's Version),-1,5,-3,0,2,0,0,2,2,1,https://open.spotify.com/embed/track/7eResoqEJJAVTkQYSqvO3P?utm_source=generator
Don't You,Fearless (Taylor's Version),-7,-4,-1,-3,-3,0,-1,-1,1,-3,https://open.spotify.com/embed/track/4uuEGH5SVuzkkSFjo2DEiY?utm_source=generator
Bye Bye Baby,Fearless (Taylor's Version),-5,-6,-1,-3,-1,0,-1,-2,0,-3,https://open.spotify.com/embed/track/4qUijfYU8EoIWiY6oSyrgT?utm_source=generator
Message In A Bottle,Red (Taylor's Version),5,-3,0,2,1,2,0,0,0,-3,https://open.spotify.com/embed/track/3z6XUommYDWPHeFhmhhT6j?utm_source=generator
