Song,Album,Summary,,Happiness/Sadness,,,,In/Out of a Relationship,,,,
,,Happy/Sad,Relationship,Feelings of self,Glass half full,Stages,Tempo,Seriousness,Future prospects,Feelings of male,Togetherness,Embed
Vigilante Shit,Midnights,6,-5,3,2,3,-2,-3,-2,0,0,https://open.spotify.com/embed/track/1xwAWUI6Dj0WGC3KiUPN0O?utm_source=generator
Bejeweled,Midnights,5,-6,-1,2,2,2,-1,-3,0,-2,https://open.spotify.com/embed/track/3qoftcUZaUOncvIYjFSPdE?utm_source=generator
Labyrinth,Midnights,-1,1,0,-2,-1,2,1,0,2,-2,https://open.spotify.com/embed/track/0A1JLUlkZkp2EFrosoNQi0?utm_source=generator
Karma,Midnights,6,-4,3,2,1,0,-2,0,0,-2,https://open.spotify.com/embed/track/7KokYm8cMIXCsGVmUvKtqf?utm_source=generator
Mastermind,Midnights,8,8,1,2,3,2,2,2,2,2,https://open.spotify.com/embed/track/56hioFjQ0DXrdn04hZcFgG?utm_source=generator
The Great War,Midnights,-2,8,-3,-2,3,0,2,3,3,0,https://open.spotify.com/embed/track/3UMrglJeju5yWyYIW6o99b?utm_source=generator
Bigger Than The Whole Sky,Midnights,-4,-6,0,-3,-3,2,-1,-3,0,-2,https://open.spotify.com/embed/track/0BiqmkasE5FdrChwKfVp8X?utm_source=generator
Paris,Midnights,6,6,1,2,1,2,1,2,1,2,https://open.spotify.com/embed/track/7712gjoih4QoDbXpljEk21?utm_source=generator
High Infidelity,Midnights,-1,-9,-2,-1,2,0,-2,-2,-2,-3,https://open.spotify.com/embed/track/5kiZGSxgqPdv6rbqL9THdd?utm_source=generator
Glitch,Midnights,1,7,1,1,-1,0,2,2,2,1,https://open.spotify.com/embed/track/6wAFvJPpTZVirBKGZ4EnMW?utm_source=generator
"Would've, Could've, Should've",Midnights,-3,-4,-2,-1,-2,2,-2,-1,0,-1,https://open.spotify.com/embed/track/0aV5uARAknQgYhBaK944FP?utm_source=generator
Dear Reader,Midnights,1,-1,-2,-2,3,2,0,0,1,-2,https://open.spotify.com/embed/track/3QF5RsWzK1lCvf2o2cY65P?utm_source=generator
